"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "Markdown", "Prisma", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Nocky\Desktop\dentalize\src\hooks\use-doctors.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 10, 51
"c:\Users\Nocky\Desktop\dentalize\src\hooks\use-mobile.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Nocky\Desktop\dentalize\src\lib\actions\appointments.ts", "TypeScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 3, 23, 178
"c:\Users\Nocky\Desktop\dentalize\src\lib\actions\doctors.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 4, 20, 129
"c:\Users\Nocky\Desktop\dentalize\src\lib\actions\users.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Nocky\Desktop\dentalize\src\lib\prisma.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Nocky\Desktop\dentalize\src\lib\resend.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Nocky\Desktop\dentalize\src\lib\utils.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Nocky\Desktop\dentalize\src\lib\vapi.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Nocky\Desktop\dentalize\src\middleware.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 2, 12
"c:\Users\Nocky\Desktop\dentalize\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 27, 5352, 519, 5, 23, 59, 8725, 4, 186, 178, 1111, 16189
